epoch,beta,train_total_loss,train_recon_chem,train_kld,val_total_loss,val_recon_chem,val_kld,test_chem_r2,test_chem_nrmse,valid_chem
1,0.0,0.7570183277130127,0.7570183277130127,3.682875633239746,0.18318122625350952,0.18318122625350952,4.633589267730713,-1.9251048564910889,0.9706577519003027,1.0
2,0.02,0.8575790524482727,0.7789122462272644,3.9333395957946777,0.38399380445480347,0.29586732387542725,4.406323432922363,-1.2403932809829712,1.2335993959917828,1.0
3,0.04,0.9983811378479004,0.8446105718612671,3.8442647457122803,0.3605039715766907,0.21017928421497345,3.7581167221069336,-1.6211903095245361,1.0397300610473992,1.0
4,0.06,0.8927332162857056,0.6743233799934387,3.640164375305176,0.4595561623573303,0.2820947766304016,2.9576897621154785,-1.5936827659606934,1.2045453866402853,1.0
5,0.08,0.8322103023529053,0.5689257979393005,3.2910566329956055,0.49725142121315,0.32128840684890747,2.199537754058838,-1.8585827350616455,1.285503234780668,1.0
6,0.1,0.9044712781906128,0.6168035268783569,2.8766777515411377,0.40350252389907837,0.23384182155132294,1.6966068744659424,-1.838670015335083,1.096697175956868,1.0
7,0.12,0.8800492882728577,0.5696105360984802,2.586989641189575,0.48815208673477173,0.32116425037384033,1.391565203666687,-2.1046242713928223,1.285254830280352,1.0
8,0.14,0.8546620607376099,0.5619649887084961,2.090693235397339,0.4771995544433594,0.30645906925201416,1.2195749282836914,-1.028191328048706,1.2554860323414787,1.0
9,0.16,0.8160696029663086,0.519416868686676,1.8540798425674438,0.3281344771385193,0.162173330783844,1.0372573137283325,-1.6383107900619507,0.9133040940604238,1.0
10,0.18,0.8611624836921692,0.5806736946105957,1.558271050453186,0.3976696729660034,0.2437327653169632,0.8552050590515137,-2.2034382820129395,1.1196508244842733,1.0
11,0.2,0.7531732320785522,0.478640079498291,1.3726656436920166,0.4803038239479065,0.34391841292381287,0.681926965713501,-2.540142297744751,1.330005265312548,1.0
12,0.22,0.8594853281974792,0.5999118685722351,1.1798793077468872,0.4156460464000702,0.2996852695941925,0.5270944833755493,-1.9492470026016235,1.2415332201188007,1.0
13,0.24,0.7372570037841797,0.503929853439331,0.9721964597702026,0.6386383771896362,0.5411397218704224,0.4062444567680359,-4.231188774108887,1.6683238304852779,1.0
14,0.26,0.793936014175415,0.5652504563331604,0.8795598149299622,0.24465727806091309,0.16544444859027863,0.3046647310256958,-0.5539568066596985,0.9224689266854328,1.0
15,0.28,0.7657228112220764,0.5531891584396362,0.7590487003326416,0.3148842453956604,0.25028860569000244,0.23069871962070465,-1.531586766242981,1.1346088321014056,1.0
16,0.3,0.7844043374061584,0.5742964744567871,0.700359582901001,0.5506836175918579,0.49491310119628906,0.18590177595615387,-4.905858516693115,1.5954754336777561,1.0
17,0.32,0.9010692238807678,0.7034330368041992,0.6176130771636963,0.5722085237503052,0.5202417373657227,0.16239625215530396,-3.780278444290161,1.6357926104281664,1.0
18,0.34,0.7998989820480347,0.6066241264343262,0.5684555172920227,0.7029700875282288,0.6499842405319214,0.15584078431129456,-8.8558931350708,1.8284246168415466,1.0
19,0.36,0.9059687256813049,0.7008934020996094,0.5696536898612976,0.4239298701286316,0.367252916097641,0.15743601322174072,-2.2088871002197266,1.3743846320546704,1.0
20,0.38,0.6620201468467712,0.4548497200012207,0.545185387134552,0.2484430968761444,0.18895135819911957,0.15655718743801117,-1.8411353826522827,0.9858269180793249,1.0
21,0.4,0.7592287063598633,0.5648034811019897,0.4860631227493286,0.2871786653995514,0.22846719622612,0.1467786729335785,-0.825610339641571,1.084020656955941,1.0
22,0.42,0.7357863783836365,0.5349377393722534,0.47821101546287537,0.4859146773815155,0.42898106575012207,0.13555622100830078,-3.72184419631958,1.4854044074642778,1.0
23,0.44,0.8043373227119446,0.6146955490112305,0.4310040771961212,0.5122407078742981,0.4569559097290039,0.12564726173877716,-6.778074741363525,1.5330728602757633,1.0
24,0.46,0.9802087545394897,0.7873720526695251,0.4192102551460266,0.3619546592235565,0.3065382242202759,0.12047049403190613,-3.1165897846221924,1.2556482219490932,1.0
25,0.48,0.7012964487075806,0.500390350818634,0.41855430603027344,0.6052013635635376,0.5496949553489685,0.11563833057880402,-4.16318416595459,1.6814598375172576,1.0
26,0.5,0.7606055736541748,0.5710639953613281,0.3790830969810486,0.2640782594680786,0.21196341514587402,0.10422967374324799,-0.33844155073165894,1.0441335961226004,1.0
27,0.52,0.7461134791374207,0.5459844470024109,0.3848634958267212,0.3906961977481842,0.3422399163246155,0.09318515658378601,-1.6645625829696655,1.3267557449018224,1.0
28,0.54,0.9098573923110962,0.7099212408065796,0.3702520728111267,0.22457344830036163,0.17728273570537567,0.08757539093494415,-0.8419343829154968,0.9549021445870824,1.0
29,0.56,0.7659391164779663,0.5675605535507202,0.35424745082855225,0.3745554983615875,0.3240441381931305,0.09019887447357178,-0.9241272807121277,1.291004425865675,1.0
30,0.58,0.6594807505607605,0.4784625470638275,0.312100350856781,0.46614423394203186,0.4168112277984619,0.08505691587924957,-2.394798755645752,1.4641829688291246,1.0
31,0.6,0.5993684530258179,0.41640815138816833,0.3049338459968567,0.492526650428772,0.4413321614265442,0.08532412350177765,-3.341999053955078,1.5066363278278165,1.0
32,0.62,0.9776238799095154,0.8122313618659973,0.2667621374130249,0.25484976172447205,0.20075519382953644,0.08724930882453918,-1.7135963439941406,1.0161528916829088,1.0
33,0.64,0.7852256894111633,0.6215454339981079,0.2557504177093506,0.43504148721694946,0.37987884879112244,0.08619162440299988,-3.503739833831787,1.3978101924443278,1.0
34,0.66,0.6647815108299255,0.50536048412323,0.24154700338840485,0.7260177135467529,0.6722492575645447,0.08146731555461884,-7.69192361831665,1.8594770043405577,1.0
35,0.68,0.8869228363037109,0.7394617795944214,0.216854527592659,0.3447577953338623,0.29351606965065,0.07535548508167267,-3.66332745552063,1.228687980926037,1.0
36,0.7,0.9628704190254211,0.817529022693634,0.20763054490089417,0.27318075299263,0.22517499327659607,0.06857965886592865,-1.4188979864120483,1.076182004132685,1.0
37,0.72,0.8396670818328857,0.7004457116127014,0.19336305558681488,0.2719528079032898,0.22610051929950714,0.06368371844291687,-0.5483113527297974,1.078391354821501,1.0
38,0.74,0.9374403953552246,0.7829719185829163,0.20874115824699402,0.29904234409332275,0.2527030110359192,0.06262069940567017,-1.276095986366272,1.140068326582661,1.0
39,0.76,0.8624978065490723,0.7013167142868042,0.21208037436008453,0.5077473521232605,0.45930320024490356,0.06374229490756989,-2.7150678634643555,1.537005359955555,1.0
40,0.78,0.7361317873001099,0.5738031268119812,0.2081136405467987,0.33382341265678406,0.2841058075428009,0.06374052166938782,-1.0675413608551025,1.2088313785572486,1.0
41,0.8,0.8044934272766113,0.6565365195274353,0.18494608998298645,0.38633477687835693,0.33863261342048645,0.05962769687175751,-2.015031099319458,1.3197450369258386,1.0
42,0.82,0.878077507019043,0.7282333970069885,0.18273669481277466,0.2877408266067505,0.24777762591838837,0.048735618591308594,-0.6948732137680054,1.1289031633887363,1.0
43,0.84,0.8119078874588013,0.6632975339889526,0.17691706120967865,0.2282201200723648,0.19820182025432587,0.035736069083213806,-0.919064998626709,1.009670068700165,1.0
44,0.86,0.8035730123519897,0.6569529175758362,0.17048849165439606,0.34508755803108215,0.3211060166358948,0.027885526418685913,-2.637758731842041,1.2851383629604436,1.0
45,0.88,0.9713482856750488,0.829619288444519,0.16105563938617706,0.36964109539985657,0.3481733500957489,0.024395152926445007,-0.8355420827865601,1.3382073455189434,1.0
46,0.9,0.764075517654419,0.6341854333877563,0.14432230591773987,0.2776563763618469,0.2553371787071228,0.02479909360408783,-1.5510756969451904,1.1459948712540133,1.0
47,0.92,0.6764297485351562,0.5482048392295837,0.13937486708164215,0.33933594822883606,0.3150883913040161,0.026356041431427002,-1.09427809715271,1.2730393476039303,1.0
48,0.94,0.8058556318283081,0.6734071969985962,0.1409025937318802,0.3826693296432495,0.35671648383140564,0.02760942280292511,-3.0009732246398926,1.3545256564682857,1.0
49,0.96,0.827046811580658,0.7028999328613281,0.1293196678161621,0.37732911109924316,0.34884265065193176,0.029673397541046143,-2.6083972454071045,1.3394930164919905,1.0
50,0.98,0.8845820426940918,0.7719791531562805,0.11490091681480408,0.3857617974281311,0.35692521929740906,0.029425084590911865,-1.7540416717529297,1.3549219607655447,1.0
